C.csv,,MSU\jackpearson1 (Pearson, Jack),2/28/2022 1:23:05 PM,GENESYS 10S,2L6M161001,2.001
nm,A
190,-0.0528
191,-0.0355
192,-0.0524
193,-0.0125
194,0.0238
195,-0.0285
196,-0.0196
197,-0.0362
198,-0.0176
199,0.015
200,0.017
201,-0.0332
202,0.0094
203,-0.0218
204,-0.0161
205,-0.0189
206,-0.0095
207,0.0594
208,0.0439
209,-0.0055
210,0.0225
211,0.0349
212,-0.0353
213,-0.0117
214,-0.0055
215,-0.0269
216,-0.0002
217,0.0028
218,-0.0171
219,0.0087
220,0.0062
221,-0.034
222,-0.0198
223,0.0034
224,-0.0005
225,0.0119
226,-0.0146
227,-0.0328
228,-0.0044
229,-0.0536
230,0.0223
231,-0.0085
232,0.046
233,-0.015
234,0.0043
235,-0.0269
236,-0.0072
237,-0.0295
238,0.0245
239,-0.0203
240,0.0036
241,-0.0061
242,-0.0109
243,-0.027
244,0.0299
245,0.0168
246,-0.008
247,0.0067
248,0.04
249,0.0516
250,0.0631
251,0.0756
252,0.0597
253,0.0852
254,0.053
255,0.0415
256,0.0392
257,0.0416
258,0.0422
259,0.0355
260,0.0315
261,0.0324
262,0.0303
263,0.0288
264,0.0279
265,0.0264
266,0.0262
267,0.0247
268,0.024
269,0.0226
270,0.0216
271,0.0195
272,0.0204
273,0.0193
274,0.0179
275,0.0179
276,0.0165
277,0.017
278,0.0161
279,0.0149
280,0.015
281,0.0147
282,0.0141
283,0.0139
284,0.0126
285,0.013
286,0.0117
287,0.0112
288,0.011
289,0.0106
290,0.0103
291,0.0098
292,0.0096
293,0.0091
294,0.0085
295,0.0085
296,0.0081
297,0.0078
298,0.0076
299,0.0076
300,0.0072
301,0.0074
302,0.0069
303,0.0067
304,0.0062
305,0.0061
306,0.006
307,0.0057
308,0.0058
309,0.0054
310,0.0052
311,0.0052
312,0.0048
313,0.0052
314,0.0049
315,0.0045
316,0.0046
317,0.0044
318,0.0047
319,0.004
320,0.004
321,0.0042
322,0.004
323,0.0037
324,0.0038
325,0.0038
326,0.0037
327,0.0034
328,0.0038
329,0.0035
330,0.0037
331,0.0036
332,0.0035
333,0.0034
334,0.0033
335,0.0033
336,0.0035
337,0.0034
338,0.0032
339,0.0031
340,0.0033
341,0.0029
342,0.0018
343,0.0029
344,0.0029
345,0.0029
346,0.0028
347,0.003
348,0.0026
349,0.0026
350,0.0022
351,0.0029
352,0.0025
353,0.0032
354,0.0027
355,0.0025
356,0.0026
357,0.0026
358,0.0024
359,0.0025
360,0.0023
361,0.0024
362,0.0024
363,0.0023
364,0.0025
365,0.0022
366,0.0022
367,0.002
368,0.0019
369,0.0019
370,0.0021
371,0.002
372,0.0021
373,0.0019
374,0.0015
375,0.0022
376,0.002
377,0.002
378,0.0021
379,0.0019
380,0.0019
381,0.0017
382,0.0018
383,0.0018
384,0.0017
385,0.0019
386,0.0017
387,0.0018
388,0.0018
389,0.0017
390,0.0015
391,0.0018
392,0.0016
393,0.002
394,0.0016
395,0.0019
396,0.0013
397,0.0017
398,0.0014
399,0.0013
400,0.0014
401,0.0015
402,0.0014
403,0.0017
404,0.0014
405,0.0012
406,0.0017
407,0.0017
408,0.0014
409,0.0016
410,0.0012
411,0.0011
412,0.0009
413,0.0013
414,0.0012
415,0.0012
416,0.0011
417,0.001
418,0.0012
419,0.0012
420,0.0015
421,0.0012
422,0.0011
423,0.0011
424,0.0008
425,0.0013
426,0.001
427,0.0011
428,0.0012
429,0.0009
430,0.0012
431,0.0011
432,0.0011
433,0.001
434,0.0011
435,0.0012
436,0.001
437,0.001
438,0.0011
439,0.0011
440,0.001
441,0.0011
442,0.001
443,0.001
444,0.0011
445,0.0009
446,0.0011
447,0.0012
448,0.0009
449,0.001
450,0.001
451,0.0009
452,0.001
453,0.0011
454,0.0011
455,0.0014
456,0.001
457,0.0011
458,0.0009
459,0.0009
460,0.001
461,0.0009
462,0.0011
463,0.0008
464,0.0011
465,0.0008
466,0.0009
467,0.001
468,0.0011
469,0.001
470,0.0008
471,0.0008
472,0.0006
473,0.0009
474,0.0009
475,0.0009
476,0.0008
477,0.0008
478,0.0009
479,0.0008
480,0.0012
481,0.0008
482,0.0006
483,0.0008
484,0.0008
485,0.0009
486,0.001
487,0.0008
488,0.0008
489,0.0008
490,0.001
491,0.0007
492,0.0011
493,0.0007
494,0.0009
495,0.001
496,0.0009
497,0.0006
498,0.0008
499,0.001
500,0.001
501,0.0007
502,0.0007
503,0.0008
504,0.0008
505,0.0008
506,0.0007
507,0.0009
508,0.0007
509,0.0009
510,0.0008
511,0.0008
512,0.0004
513,0.0003
514,0.001
515,0.0009
516,0.0009
517,0.0007
518,0.0007
519,0.0009
520,0.0006
521,0.0009
522,0.0007
523,0.0004
524,0.0006
525,0.0007
526,0.0006
527,0.0007
528,0.0007
529,0.0009
530,0.0008
531,0.0007
532,0.0006
533,0.0008
534,0.0008
535,0.0007
536,0.0006
537,0.0006
538,0.0005
539,0.0008
540,0.0009
541,0.0008
542,0.0007
543,0.0007
544,0.0008
545,0.0007
546,0.0003
547,0.0005
548,0.0005
549,0.0006
550,0.001
551,0.0006
552,0.0006
553,0.0005
554,0.0005
555,0.0001
556,0.0009
557,0.001
558,0.0007
559,0.0006
560,0.0009
561,0.0004
562,0.0005
563,0.001
564,0.0006
565,0.001
566,0.0004
567,0.0005
568,0.0007
569,0.0005
570,0.0006
571,0.0003
572,0.0008
573,0.0004
574,0.0005
575,0.0007
576,0.0009
577,0.0006
578,0.0008
579,0.0006
580,0.0006
581,0.0002
582,0.0008
583,0.001
584,0.0006
585,0.0012
586,0.0003
587,0.0002
588,0.0008
589,0.0015
590,0.0006
591,0.0006
592,0.0005
593,0.0001
594,0.0008
595,0.0007
596,0.0004
597,0.0006
598,0.0007
599,0.0006
600,0.0009
601,0.0008
602,0.0005
603,0.0004
604,0.0002
605,0.0004
606,0.0006
607,0.0004
608,0.0006
609,0.0002
610,0.001
611,0.0004
612,0.001
613,0.0008
614,0.0008
615,0.0008
616,0.0007
617,0.0008
618,0.0005
619,0.0006
620,0.0003
621,0.0011
622,0.0009
623,0.001
624,0.0003
625,0.0006
626,0.0007
627,0.001
628,0.0003
629,0.0004
630,0.001
631,0.0007
632,0.0005
633,0.0003
634,0.0004
635,0.0003
636,0.0008
637,0.0005
638,0.0005
639,0.0005
640,0.0013
641,0.0001
642,0.0005
643,0.0007
644,0.0002
645,0.0011
646,0.001
647,0.0001
648,0.0005
649,0.0007
650,-0.0002
651,0.0003
652,-0.0002
653,0.0004
654,0.0003
655,0.0009
656,0.0008
657,0.0005
658,0.0004
659,0.001
660,0.0005
661,0.001
662,0
663,0.0002
664,0.0003
665,0.0001
666,-0.0002
667,0.0001
668,0.0009
669,0.0005
670,0.0005
671,0.0009
672,0.0003
673,0.0006
674,0.0007
675,0.0006
676,0.0002
677,0.0002
678,0.0004
679,0.0008
680,0.0004
681,0.0009
682,0.0005
683,0.0006
684,0.0006
685,0.0006
686,0.0006
687,0.0006
688,0.0004
689,0.0005
690,0.0005
691,0.0007
692,0.0003
693,0.0007
694,0.0006
695,0.0006
696,-0.0001
697,0.0002
698,0.0006
699,0.0007
700,0.0005
701,0.0008
702,0.0004
703,0.0006
704,0.0008
705,0.0005
706,0.0007
707,0.0008
708,0.0002
709,0.0006
710,0.0007
711,0.0001
712,0.0002
713,0.0005
714,0.0007
715,0.0006
716,0.0005
717,0.0003
718,0.0005
719,0.0005
720,0.0009
721,0.0006
722,0.0014
723,-0.0004
724,-0.0003
725,0.0001
726,0.0006
727,-0.0004
728,0.0001
729,0.001
730,-0.0003
731,0.0003
732,0.0002
733,0.0002
734,0.0006
735,0.0004
736,0.0006
737,0
738,0.0008
739,0.0008
740,0.0004
741,0.0001
742,0.0004
743,-0.0001
744,0.0006
745,0.0016
746,-0.0001
747,-0.0002
748,0.0003
749,0.0006
750,-0.0003
751,0.0006
752,-0.0003
753,0.0005
754,-0.0001
755,0.0008
756,0.0006
757,-0.0002
758,0.0003
759,-0.0003
760,0.0002
761,0.0002
762,0.0004
763,0.001
764,0
765,0.0011
766,0.0004
767,0.0008
768,0.0009
769,0.0005
770,0
771,0.0007
772,-0.0007
773,-0.0004
774,-0.0003
775,0.0005
776,-0.0009
777,-0.0002
778,0.0008
779,0.0012
780,0.0003
781,0.0006
782,-0.0011
783,0.0009
784,0.0002
785,0.0008
786,0.0004
787,0.0009
788,0.0012
789,0.0004
790,0.0012
791,0.0005
792,-0.0003
793,0.0003
794,0.0002
795,-0.0001
796,0.0001
797,0.0007
798,0.0012
799,-0.0002
800,-0.0004
801,0.0006
802,0.0006
803,-0.0001
804,0.0001
805,0.0004
806,0.0008
807,0.0006
808,-0.0004
809,-0.0005
810,0.0009
811,0.0001
812,0.0004
813,-0.0002
814,0.0008
815,0.0004
816,-0.0001
817,-0.0003
818,-0.0002
819,0.0003
820,0.0001
821,0.0003
822,0.0006
823,0.0003
824,0.0004
825,0.0004
826,0.0003
827,0.0003
828,0.0004
829,0.0003
830,0.0007
831,0.0006
832,0.0008
833,0.0005
834,0.0005
835,0.0003
836,0.0002
837,0.0007
838,0.0005
839,0.0003
840,0.0007
841,0.0007
842,0.0005
843,0.001
844,0.0002
845,0.0012
846,0.0002
847,0.0003
848,0.0008
849,0.0002
850,-0.0007
851,0.0005
852,0.0007
853,0.0011
854,0.0002
855,0.0009
856,0
857,-0.0001
858,0.0008
859,-0.0003
860,0.0002
861,0
862,0
863,-0.0003
864,0.0001
865,-0.0009
866,0.001
867,-0.0002
868,-0.0001
869,0.0001
870,0.0008
871,0.0001
872,0.0006
873,0.0001
874,0.0011
875,-0.0006
876,0.0002
877,0.0003
878,-0.0007
879,0.0002
880,0.0004
881,0.0003
882,0.0002
883,0.0003
884,0.0002
885,0.0002
886,0.0004
887,0.0003
888,0.0003
889,0.0005
890,0.0004
891,0.0001
892,0.0001
893,0.0005
894,0.0003
895,0.0004
896,0.0002
897,0.0003
898,0.0003
899,0.0004
900,0.0008
901,0.0008
902,0.0003
903,0.0005
904,0.0007
905,0.0002
906,0.0004
907,0.0003
908,0.0001
909,0.0006
910,0.0004
911,-0.0001
912,0
913,0.0006
914,0.0002
915,0.0006
916,0.0002
917,0.0005
918,0.0004
919,0.0002
920,0.0004
921,0
922,0
923,-0.0002
924,0.0005
925,0.0005
926,0.0002
927,0.0005
928,0.0004
929,0.0011
930,0.0006
931,0.0007
932,0.0001
933,0.0006
934,0.001
935,0.0004
936,0.0008
937,0.0008
938,0.0008
939,0.0009
940,0.0008
941,0.0011
942,0.0009
943,0.0013
944,0.0012
945,0.0008
946,0.0006
947,0.0013
948,0.0009
949,0.0008
950,0.0015
951,0.0016
952,0.0016
953,0.0015
954,0.0011
955,0.0019
956,0.0014
957,0.0019
958,0.0015
959,0.002
960,0.0027
961,0.0023
962,0.0022
963,0.0022
964,0.0023
965,0.0022
966,0.0022
967,0.002
968,0.0021
969,0.0026
970,0.0025
971,0.0021
972,0.0023
973,0.0017
974,0.0016
975,0.0023
976,0.0014
977,0.0014
978,0.0014
979,0.0011
980,0.001
981,0.0012
982,0.001
983,0.0011
984,0.0015
985,0.0005
986,0.0002
987,0.0007
988,0.0004
989,0.0006
990,0
991,0.0002
992,0
993,0.0002
994,0.0001
995,-0.0001
996,0.0001
997,-0.0003
998,0
999,0
1000,-0.0003
1001,-0.0009
1002,-0.0009
1003,-0.001
1004,-0.0004
1005,-0.0011
1006,-0.0005
1007,-0.0016
1008,-0.001
1009,-0.0005
1010,-0.0008
1011,-0.0017
1012,-0.0011
1013,-0.0005
1014,-0.0009
1015,-0.0014
1016,-0.0013
1017,-0.0018
1018,-0.0008
1019,-0.0025
1020,-0.0029
1021,-0.0013
1022,-0.0011
1023,-0.0016
1024,-0.0017
1025,-0.0006
1026,-0.0026
1027,-0.0011
1028,-0.0008
1029,-0.0023
1030,-0.0012
1031,-0.0016
1032,-0.0024
1033,-0.0018
1034,-0.0028
1035,-0.0035
1036,-0.0012
1037,-0.0029
1038,-0.0016
1039,-0.0029
1040,-0.0013
1041,-0.0005
1042,-0.0019
1043,-0.002
1044,-0.0024
1045,-0.0036
1046,-0.0011
1047,-0.0015
1048,-0.0041
1049,-0.0012
1050,-0.0012
1051,-0.0032
1052,-0.0031
1053,-0.0018
1054,-0.0025
1055,-0.0021
1056,-0.0012
1057,-0.0027
1058,-0.0023
1059,-0.0047
1060,-0.0034
1061,-0.0022
1062,-0.0029
1063,-0.0019
1064,-0.0059
1065,-0.0006
1066,-0.0087
1067,-0.0016
1068,-0.0005
1069,-0.0006
1070,0.0011
1071,-0.0046
1072,-0.0016
1073,-0.0057
1074,0.0041
1075,-0.0014
1076,-0.0023
1077,-0.0033
1078,-0.0036
1079,-0.0041
1080,-0.0035
1081,0.0026
1082,0.0026
1083,-0.0032
1084,-0.0033
1085,-0.0026
1086,-0.001
1087,-0.0067
1088,-0.0007
1089,-0.0049
1090,-0.0016
1091,-0.0027
1092,-0.0034
1093,-0.0057
1094,0.0011
1095,0.0001
1096,-0.0031
1097,0.0028
1098,-0.0046
1099,-0.0034
1100,0.0067
